Nombre,Edad,Altura,Peso,Nacionalidad,General,Potencia,Club,Valor_euro,Pie_habil,Ritmo,Disparo,Total_pases,Regate,Defensa,Fisico,Finalización,Precision_cabeza,Volea,Control_balon,Aceleracion,Sprint,Agilidad,Reaccion,Balance,Potencia_disparo,Salto,Resistencia,Fuerza,Tiros_largos,Agrecion,Intercepciones,Posicionamiento,Vision,Penaltis
8123,J. Bennett,32,183,74,England,67,67,Wigan Athletic,700000,Left,68,47,63,65,64,67,38,65,51,64,67,68,71,64,71,65,75,66,65,46,70,63,53,61,54
8124,F. Guerrero,32,172,69,Ecuador,67,67,Cienciano,800000,Left,84,59,60,69,51,54,65,37,55,69,87,82,85,58,66,48,78,77,53,55,24,46,62,59,59
8125,W. Cheddira,24,187,80,Italy,67,73,Bari,1600000,Right,74,67,62,64,40,71,70,61,57,67,70,78,67,60,52,64,60,67,83,67,49,29,67,66,70
8126,S. Mai,28,195,91,Germany,67,68,MSV Duisburg,975000,Right,43,57,45,50,65,82,55,73,44,55,34,50,33,62,31,74,43,64,93,48,87,60,58,45,55
8127,J. Ponceau,21,170,62,France,67,76,FC Lorient,2300000,Right,75,55,63,72,52,56,58,44,51,70,75,75,80,63,83,55,60,80,44,47,54,61,66,69,56
8128,S. Greenwood,20,180,75,England,67,80,Leeds United,2500000,Right,71,64,65,67,52,67,66,56,57,70,72,70,65,64,63,63,62,70,65,63,71,46,64,67,65
8129,P. Fuentes,26,178,77,Peru,67,72,Cienciano,1300000,Right,59,45,58,60,67,71,45,71,28,65,58,60,58,62,42,48,70,70,71,46,70,65,51,61,45
8130,D. Agrón,21,182,74,Colombia,67,78,La Equidad,2100000,Left,60,25,41,46,66,69,20,66,30,64,62,59,52,70,53,35,73,60,72,21,70,70,27,31,43
8131,J. Clark,28,176,73,England,67,67,Luton Town,1000000,Right,76,63,68,70,57,62,65,68,58,70,78,75,86,66,73,62,74,70,60,63,56,56,65,67,42
8133,U. Nayir,29,191,75,Turkey,67,67,Ümraniyespor,1000000,Right,53,66,45,63,23,73,66,76,64,69,55,52,59,70,47,70,70,63,84,59,61,19,74,55,65
8134,S. Chergui,23,185,78,France,67,76,Paris FC,2100000,Right,53,43,61,63,67,63,42,59,30,63,58,49,71,66,68,47,72,43,71,44,67,66,52,60,40
8135,S. Jamieson,33,177,71,Australia,67,67,Melbourne City FC,525000,Left,69,55,62,60,62,80,51,55,42,60,71,67,68,59,68,65,88,89,75,54,80,62,59,60,55
8136,G. Friend,34,188,83,England,67,67,Birmingham City,325000,Left,50,55,60,63,67,66,53,66,33,63,51,49,64,65,55,62,67,58,72,57,60,67,62,52,49
8137,S. Bakari,27,178,73,Comoros,67,67,RKC Waalwijk,975000,Right,84,57,59,66,59,74,56,57,57,63,85,83,75,65,72,66,63,82,74,52,68,63,64,65,52
8139,Matheus Aiás,25,175,72,Brazil,67,72,Racing Santander,1500000,Right,73,66,51,69,27,61,68,62,58,69,75,72,75,65,78,68,58,58,70,63,45,14,64,56,65
8140,M. Ellingsen,27,180,75,Norway,67,70,Molde FK,1200000,Left,59,61,65,67,64,69,56,58,56,67,55,63,70,64,80,68,71,68,73,66,61,65,61,61,60
8141,A. Sissoko,25,178,68,France,67,72,US Quevilly Rouen Métropole,1400000,Right,76,33,56,60,63,65,31,61,35,61,78,75,62,61,76,37,56,68,62,28,71,62,48,43,37
8142,A. Mikkelsen,21,170,62,Norway,67,77,Tromsø IL,2300000,Right,78,61,63,75,33,56,60,45,57,74,82,75,92,57,92,60,49,81,48,62,44,32,66,68,66
8143,Ricard,22,175,68,Spain,67,78,Granada CF,2200000,Right,76,57,55,66,61,54,60,57,18,69,74,77,59,60,74,63,61,74,45,61,52,63,45,32,42
8144,Ureña,19,180,75,Spain,67,78,Girona FC,2200000,Right,79,61,62,70,32,52,63,46,50,69,80,79,79,53,68,68,42,52,53,50,50,27,57,58,70
8145,L. Caicedo,24,187,90,Ecuador,67,71,Delfín Sporting Club,1300000,Right,60,35,50,52,68,70,41,66,33,62,61,59,55,64,67,38,70,70,70,20,71,69,29,39,39
8146,Jozabed,31,180,70,Spain,67,67,Málaga CF,825000,Right,55,64,68,67,58,66,64,64,55,67,60,50,74,70,63,65,67,60,72,65,60,64,70,72,54
8147,J. Marié,30,177,73,France,67,67,Dijon FCO,975000,Right,37,52,65,69,65,60,48,47,39,70,44,31,68,71,61,65,63,63,56,54,64,68,63,68,33
8148,M. Hebo Rasmussen,26,190,75,Denmark,67,68,Cracovia,1200000,Right,51,61,67,64,57,70,59,46,58,64,52,51,62,62,70,67,45,74,72,62,68,61,66,73,58
8149,Costinha,22,181,76,Portugal,67,78,Rio Ave FC,2200000,Right,67,51,56,61,64,63,50,59,30,64,68,66,55,56,65,50,57,72,57,57,67,63,60,37,46
8150,J. Knight,24,185,78,England,67,73,Peterborough United,1500000,Right,57,52,56,62,67,73,52,65,41,65,55,58,54,67,58,54,75,75,73,56,69,68,57,61,42
8151,K. Pestka,23,189,67,Poland,67,74,Cracovia,1900000,Left,77,40,59,62,64,71,22,61,34,63,73,80,69,53,63,61,55,80,71,60,63,64,47,57,39
8152,Sergio López,23,179,70,Spain,67,74,FC Basel 1893,1900000,Right,76,55,63,68,62,57,52,64,48,67,76,76,70,65,72,63,61,58,53,59,66,60,50,59,43
8153,M. Malone,21,187,87,Germany,67,74,RZ Pellets Wolfsberger AC,2100000,Left,77,66,59,67,31,67,68,62,46,66,79,76,64,63,71,66,33,66,78,67,49,28,66,56,60
8154,Antoñín,22,182,71,Spain,67,77,Vitória de Guimarães,2300000,Right,82,66,57,68,23,56,68,63,67,65,80,83,76,64,65,66,66,52,60,59,47,17,69,52,64
8155,A. Virginius,19,175,65,France,67,84,LOSC Lille,2600000,Right,90,57,58,71,27,40,62,55,39,71,90,90,87,55,72,61,58,53,35,48,30,22,62,58,54
8156,R. Ivanov,27,197,85,Finland,67,69,Warta Poznań,1100000,Right,57,32,54,50,69,72,29,65,29,55,61,54,46,65,39,45,64,62,83,22,58,69,33,59,41
8157,D. van Mieghem,32,170,68,Netherlands,67,67,FC Volendam,800000,Left,85,64,63,69,26,49,66,47,53,65,84,85,86,64,82,62,53,73,41,65,36,25,57,61,59
8158,J. Castro,25,175,70,Colombia,67,72,La Equidad,1400000,Right,70,38,60,64,62,63,37,60,36,67,72,69,80,62,74,34,71,73,60,35,58,58,60,59,46
8160,A. Moueffek,21,179,71,France,67,79,AS Saint-Étienne,2500000,Right,67,55,64,70,66,63,55,61,39,71,69,66,77,66,66,59,56,60,63,56,70,64,64,68,50
8161,T. Meziani,26,171,68,Algeria,67,68,Abha Club,1200000,Left,75,62,63,68,41,63,62,62,55,68,73,76,68,62,68,64,65,65,64,61,55,40,65,62,60
8162,A. Tahiri,27,179,61,Morocco,67,68,SC Heerenveen,1200000,Right,73,58,69,71,52,54,55,35,48,70,74,73,80,68,76,67,49,77,45,57,50,52,54,71,62
8163,V. Bichakhchyan,22,172,68,Armenia,67,72,Pogoń Szczecin,1600000,Left,70,69,65,67,55,57,67,63,55,67,71,70,76,62,80,74,59,67,53,75,53,51,66,66,65
8165,H. Caballero,31,181,76,Paraguay,67,67,Club Libertad,725000,Right,53,59,58,64,69,62,56,70,31,70,51,54,52,53,65,66,65,53,70,68,50,77,66,54,44
8166,D. Lachman,32,189,75,Curacao,67,67,Perth Glory,650000,Right,70,43,54,59,64,80,34,62,35,57,66,74,53,63,62,66,71,69,90,43,70,63,32,54,44
8167,E. Lancini,28,188,79,Italy,67,69,Palermo,1000000,Right,66,34,43,52,66,74,29,65,30,54,62,70,57,66,66,50,74,58,85,32,65,65,20,36,33
8168,K. Salazar,26,171,66,Colombia,67,70,La Equidad,1300000,Right,72,53,66,74,41,50,49,34,50,74,73,71,72,55,86,54,70,72,40,57,41,25,62,66,62
8169,E. Ceïde,20,175,71,Norway,67,77,U.S. Sassuolo Calcio,2200000,Right,81,56,57,73,33,49,59,37,51,73,85,78,82,56,77,56,45,61,49,55,34,27,62,64,38
8170,R. Benatelli,30,181,82,Germany,67,67,SK Austria Klagenfurt,850000,Right,46,62,66,68,60,71,57,45,48,71,58,37,71,66,76,71,32,79,74,67,61,63,60,63,63
8171,D. Iorfa,27,193,78,England,67,68,Sheffield Wednesday,1000000,Right,80,40,55,57,67,70,45,66,24,58,79,81,44,62,44,47,34,49,84,26,70,68,54,56,31
8172,J. Kliment,28,185,73,Czech Republic,67,67,FC Viktoria Plzeň,1000000,Right,73,64,55,66,31,62,66,64,58,68,70,76,67,66,67,67,77,58,72,57,39,32,72,56,61
8173,M. Dominguez,26,173,63,Switzerland,67,69,Miedź Legnica,1300000,Left,75,59,64,70,45,47,58,49,54,71,77,73,82,55,91,58,75,38,50,62,42,40,65,69,62
8174,F. Flecker,26,177,70,Austria,67,68,LASK Linz,1200000,Right,84,61,57,69,57,66,65,43,55,66,89,80,91,62,80,62,65,82,57,56,67,60,56,58,47
8175,B. Lederman,22,180,75,Poland,67,78,Raków Częstochowa,2300000,Left,76,59,67,70,55,66,58,46,52,69,79,73,82,67,70,62,71,74,63,62,63,65,59,70,44
8176,N. Ünüvar,19,168,63,Netherlands,67,85,Trabzonspor,2600000,Right,69,58,67,72,37,44,61,46,47,74,71,68,72,62,86,62,53,55,38,49,43,25,56,74,62
8177,M. van Duinen,30,185,75,Netherlands,67,67,Excelsior,975000,Right,70,65,60,65,48,74,65,64,63,67,71,70,66,66,62,67,82,81,72,63,67,40,72,58,68
8179,J. Hayes,34,173,73,Republic of Ireland,67,67,Aberdeen,375000,Left,79,59,63,69,62,68,56,57,50,66,78,80,82,55,83,73,84,69,61,59,80,60,56,58,48
8180,O. Mbaizo,24,178,70,Cameroon,67,71,Philadelphia Union,1400000,Right,80,36,57,68,60,65,31,58,41,66,82,79,77,59,70,39,70,73,61,37,65,59,49,39,44
8181,F. El Melali,25,168,65,Algeria,67,70,Angers SCO,1300000,Right,69,61,62,75,30,34,70,41,53,70,70,69,71,53,91,54,32,33,34,45,35,19,66,65,65
8182,R. Ergas,24,181,75,Uruguay,67,73,Cerro Largo Fútbol Club,1500000,Left,77,51,47,61,62,64,55,50,36,59,72,81,58,62,66,30,55,82,59,65,58,60,58,36,60
8183,E. Anderson,19,179,63,Scotland,67,85,Newcastle United,2600000,Right,74,64,65,73,58,68,65,61,57,72,79,70,78,63,85,68,73,68,66,59,70,56,66,67,60
8184,B. Veglio,24,164,61,Uruguay,67,74,Montevideo Wanderers,2000000,Right,65,62,65,62,64,54,63,47,56,65,68,62,63,63,67,58,50,77,42,68,54,74,58,67,51
8185,E. Rroca,28,182,75,Albania,67,67,İstanbulspor,1000000,Right,64,67,66,68,50,57,69,58,49,73,59,68,55,57,62,68,61,58,59,67,48,44,68,65,66
8186,B. Borrello,26,177,82,Australia,67,67,Western Sydney Wanderers,1100000,Right,70,64,61,69,26,68,62,39,59,66,75,66,75,65,78,71,53,75,69,64,61,23,63,63,57
8187,R. Hardie,25,188,73,Scotland,67,71,Plymouth Argyle,1400000,Right,86,64,48,64,24,64,67,61,60,64,84,88,71,64,69,66,72,73,73,59,27,18,67,45,59
8188,Roberto Alves,25,180,72,Switzerland,67,72,Radomiak Radom,1500000,Left,75,66,67,68,28,64,65,34,60,69,76,74,70,52,70,70,59,87,58,68,52,20,64,68,67
8189,V. Ghiță,24,186,80,Romania,67,73,Cracovia,1500000,Right,54,44,48,50,67,74,43,68,36,49,53,54,66,65,73,47,82,70,76,47,73,65,43,51,41
8190,A. Tapsoba,20,177,71,Burkina Faso,67,77,Standard de Liège,2300000,Right,83,67,54,70,22,55,68,57,68,72,84,83,81,52,73,69,83,59,56,66,38,23,67,54,61
8191,R. Negru,23,168,68,Romania,67,74,FC U Craiova 1948,1900000,Right,80,39,57,60,59,68,32,40,29,56,80,80,85,60,84,56,60,81,63,40,68,63,45,45,31
8192,J. Dawa,26,192,92,Cameroon,67,71,FCSB (Steaua),1300000,Right,66,34,40,44,65,80,27,72,21,44,65,67,51,58,35,65,75,69,87,25,76,63,22,32,28
8193,H. Lansbury,31,183,85,England,67,67,Luton Town,825000,Right,52,66,69,67,60,70,65,52,57,70,53,52,69,65,64,70,61,52,75,67,81,66,65,70,70
8194,E. Camargo,20,180,74,Colombia,67,80,Deportivo Cali,2400000,Right,65,63,66,66,61,59,66,55,58,66,68,63,62,64,67,55,55,66,58,65,56,62,61,65,61
8195,J. Morrell,25,168,63,Wales,67,69,Portsmouth,1300000,Right,71,47,66,72,55,52,40,36,45,70,72,70,89,68,92,55,67,81,38,52,45,67,55,67,58
8196,T. Sainte-Luce,23,181,72,France,67,73,Montpellier Hérault SC,1500000,Left,75,47,58,68,62,61,46,47,36,69,74,76,72,63,69,56,66,70,60,41,53,68,57,48,46
8197,Lucas Ahijado,27,173,67,Spain,67,68,Real Oviedo,1100000,Right,80,58,62,65,62,63,53,51,53,64,77,83,76,58,75,67,53,76,61,65,53,64,61,63,46
8198,I. Saibari,20,185,81,Morocco,67,79,PSV,2500000,Right,76,62,63,70,41,68,63,39,55,70,74,77,73,63,72,64,64,62,74,61,61,40,64,67,57
8200,Adriano Junqueiras,26,186,84,Brazil,67,67,Sport Club Corinthians Paulista,975000,Right,52,29,34,45,67,74,27,67,29,60,51,52,43,70,55,37,78,67,78,23,71,67,23,33,38
8201,A. Al Khaibari,25,175,75,Saudi Arabia,67,72,Al Nassr,1400000,Right,63,43,59,63,65,69,35,53,38,67,72,55,63,65,72,57,70,74,67,47,69,64,53,59,40
8202,T. Keller,22,186,80,Germany,67,75,1. FC Heidenheim 1846,2100000,Right,63,42,56,53,65,74,37,67,29,60,65,61,59,64,53,61,72,69,77,40,71,62,28,52,39
8203,M. Marin,23,180,75,Romania,67,72,Pisa,1500000,Right,73,57,67,66,64,70,53,57,48,67,74,73,70,66,70,64,71,84,63,61,72,64,58,68,57
8204,G. Aburjania,27,186,75,Georgia,67,68,Gil Vicente FC,1200000,Right,52,62,66,68,63,72,64,56,47,68,50,53,61,65,64,65,80,68,71,63,75,69,64,68,49
8206,J. Jones,30,175,73,Trinidad and Tobago,67,67,Inter Miami CF,875000,Left,77,57,64,68,61,68,56,46,38,67,77,77,74,62,74,63,73,64,70,59,68,63,63,63,48
8208,A. Vrenezi,28,177,66,Kosovo,67,67,TSV 1860 München,1000000,Right,79,66,60,71,20,58,66,36,59,69,82,77,83,63,80,67,67,81,55,67,36,18,66,58,61
8209,D. Schnegg,23,185,80,Austria,67,72,SK Sturm Graz,1400000,Left,73,53,60,65,63,74,51,53,48,67,70,75,65,56,61,55,37,79,79,56,65,62,56,58,45
8210,K. Aparicio,29,189,84,Peru,67,68,Cienciano,950000,Right,45,46,61,57,69,68,36,60,49,58,32,55,55,70,33,57,72,64,72,51,62,72,60,60,45
8212,Rômulão Selva,30,178,72,Brazil,67,67,América Futebol Clube,1000000,Right,79,61,60,74,23,60,50,51,71,76,81,77,69,76,70,72,63,59,63,67,51,24,77,55,67
8213,Li Shuai,27,180,75,China PR,67,68,Shanghai Port FC,1100000,Right,79,41,58,65,61,72,37,49,36,63,77,80,82,60,70,45,72,80,71,39,66,61,67,60,39
8214,D. Sanderson,22,188,78,England,67,80,Birmingham City,2400000,Right,75,40,51,58,67,73,39,60,35,58,71,78,66,64,53,45,69,65,78,38,70,67,51,48,32
8215,I. Touré,19,204,75,France,67,83,Olympique de Marseille,2500000,Left,67,30,48,54,63,80,29,64,27,62,63,70,53,60,47,39,74,65,91,19,74,64,38,50,41
8216,N. Garayalde,22,182,76,Argentina,67,75,Vélez Sarsfield,2300000,Right,66,55,68,69,55,54,52,39,49,68,67,65,69,64,66,57,49,54,57,60,48,60,66,75,44
8217,Hugo Vallejo,22,185,80,Spain,67,76,SD Ponferradina,2300000,Right,63,65,64,71,36,55,70,41,61,73,64,62,63,60,59,62,47,57,63,59,32,29,64,58,59
8219,T. Holmes,22,189,82,England,67,74,Reading,1900000,Right,51,25,55,55,66,72,20,66,32,57,48,54,48,59,55,35,74,63,78,20,70,65,39,49,37
8222,N. Wimmer,27,190,88,Austria,67,69,SK Austria Klagenfurt,1100000,Left,48,33,45,44,67,75,31,69,25,47,51,46,42,67,41,44,72,66,84,27,63,66,37,38,41
8223,L. Díaz,24,181,73,Argentina,67,71,Independiente del Valle,1500000,Right,72,69,68,65,26,60,70,59,64,64,73,72,68,60,67,70,59,71,62,67,42,18,66,62,65
8224,M. Urruti,31,184,75,Argentina,67,67,Austin FC,850000,Right,72,66,62,71,54,69,67,58,65,68,77,68,81,69,65,70,58,88,59,62,74,53,67,63,66
8225,Loureiro,25,175,70,Spain,67,71,CD Lugo,1300000,Right,69,33,51,63,64,65,33,62,36,64,68,69,56,65,77,32,58,68,69,28,54,63,51,37,44
8226,S. Wootton,30,188,78,England,67,67,Wellington Phoenix,825000,Right,53,29,50,57,66,76,22,65,32,62,48,57,53,55,55,48,78,69,84,20,63,63,43,50,37
8227,J. Böðvarsson,30,190,85,Iceland,67,67,Bolton Wanderers,1000000,Right,69,64,60,65,37,70,66,66,62,68,66,72,61,65,56,65,66,71,78,61,52,22,67,62,62
8228,S. Marreh,26,184,78,Gambia,67,70,KAA Gent,1200000,Right,44,32,55,60,66,71,22,58,24,62,60,31,56,64,62,50,60,64,72,29,80,67,48,63,47
8229,A. Arslan,28,180,77,Germany,67,67,SG Dynamo Dresden,1000000,Right,67,63,66,70,59,60,62,45,52,70,72,63,76,69,74,64,54,55,59,65,70,56,58,69,67
8231,E. Mena,24,177,65,Colombia,67,71,América de Cali,1500000,Right,76,53,61,66,36,54,60,42,37,61,75,76,70,65,75,56,37,78,55,37,28,21,63,62,55
8232,M. Insaurralde,23,176,70,Argentina,67,74,Gimnasia y Esgrima La Plata,2000000,Right,73,53,65,68,56,66,52,47,55,71,78,68,73,66,65,56,71,74,63,46,64,57,64,68,59
8233,N. Molina,29,178,79,Ecuador,67,67,Barcelona Sporting Club,875000,Right,66,51,56,62,66,68,50,51,31,66,64,68,62,67,61,55,60,71,71,50,58,68,65,62,48
8234,D. Łukasik,31,179,73,Poland,67,67,Radomiak Radom,725000,Right,51,51,66,64,64,69,47,52,40,65,51,51,66,57,71,59,57,67,70,55,71,65,61,65,45
8235,I. Swers,25,185,76,Belgium,67,70,KV Mechelen,1200000,Right,88,52,62,68,58,65,48,46,56,66,86,89,75,66,75,53,73,71,64,58,58,59,58,59,54
8236,T. Edun,24,172,75,England,67,74,Blackburn Rovers,1900000,Left,75,45,59,66,62,69,39,56,36,63,77,73,84,64,83,54,82,82,59,46,74,63,54,58,55
8237,E. Hackman,27,187,79,Togo,67,68,Gil Vicente FC,1100000,Right,74,46,51,65,65,72,45,63,31,66,72,75,66,63,60,68,81,68,73,33,71,69,40,38,46
8238,T. Plavotic,25,197,92,Croatia,67,70,SV Ried,1200000,Left,40,29,45,42,66,81,24,73,22,55,41,39,34,52,33,42,55,70,92,28,72,64,27,26,31
8240,Diego Rosa,19,178,70,Brazil,67,79,FC Vizela,2400000,Right,69,49,67,66,59,66,40,55,45,68,68,69,58,68,70,66,61,70,65,48,65,56,63,68,50
8241,J. Murphy,27,173,67,England,67,67,Oxford United,1100000,Right,84,65,60,69,28,50,63,38,58,67,82,85,78,62,78,72,48,58,50,64,41,27,64,61,58
8242,A. Considine,35,183,75,Scotland,67,67,St. Johnstone FC,275000,Left,35,31,55,61,67,75,25,67,30,63,34,35,51,56,66,42,85,68,81,33,67,64,25,39,38
8243,C. Metcalfe,22,183,70,Australia,67,76,FC St. Pauli,2300000,Left,64,59,65,67,59,79,60,53,49,64,62,65,68,71,76,63,82,83,80,56,72,66,64,67,50
8244,B. Riveros,24,178,71,Paraguay,67,74,Brøndby IF,1900000,Left,77,36,56,71,59,67,25,41,25,71,76,77,83,62,77,44,75,72,67,48,60,57,64,34,40
8245,D. Islamović,28,190,87,Montenegro,67,67,Gangwon FC,1000000,Left,54,70,57,62,30,75,68,65,68,66,53,54,54,66,59,78,69,69,89,68,48,42,68,63,62
8246,E. Brignola,22,168,71,Italy,67,75,Cosenza,2300000,Left,72,63,63,71,21,54,65,53,45,69,72,72,85,62,86,64,64,65,53,63,40,20,70,65,60
8247,K. Silva,28,179,74,Venezuela,67,67,Deportivo La Guaira FC,925000,Right,63,49,58,49,66,69,42,64,40,54,64,63,59,65,61,60,80,73,70,55,57,70,41,55,55
8248,T. Vargas,22,175,73,France,67,78,Nîmes Olympique,2200000,Right,72,35,56,63,63,62,28,57,26,66,72,72,67,65,71,59,76,69,56,26,64,64,51,46,40
8249,Lee Yong Jae,31,186,78,Korea Republic,67,67,Incheon United FC,850000,Right,83,65,60,67,30,69,69,58,61,66,83,83,80,68,64,64,58,71,69,57,69,39,69,64,58
8253,H. Weydandt,26,195,94,Germany,67,67,Hannover 96,1100000,Right,77,63,45,57,33,80,66,74,64,62,68,84,47,64,35,71,70,70,92,50,65,24,65,56,50
8254,I. Mohammad,32,171,64,Qatar,67,67,Free agent,0,Right,83,61,62,67,58,61,64,52,53,64,82,84,77,63,80,62,58,73,50,58,75,57,65,65,48
8255,Cleiton Silva,35,175,73,Brazil,67,67,SC East Bengal FC,425000,Right,76,68,62,67,22,65,69,63,60,65,77,76,70,63,82,72,69,78,66,63,45,15,65,63,67
8256,J. Edwards,31,173,73,England,67,67,Plymouth Argyle,750000,Right,68,58,62,65,62,75,60,58,45,63,69,67,80,60,81,59,89,91,70,55,66,61,57,63,56
8257,A. D'Errico,30,171,68,Italy,67,67,Bari,975000,Right,63,43,67,69,59,54,42,39,36,73,63,63,61,60,82,50,49,68,45,32,61,60,64,70,45
8258,F. Soyalp,27,175,73,Turkey,67,68,Gazişehir Gaziantep F.K.,1200000,Right,70,61,69,70,52,64,56,50,60,70,71,70,72,59,68,68,62,68,65,64,55,55,68,69,51
8259,A. O'Neill,23,178,70,Australia,67,72,Melbourne City FC,1400000,Right,76,58,62,66,62,70,57,54,52,66,74,77,80,61,75,61,81,83,64,62,66,62,56,65,49
8260,J. Masson,24,182,76,France,67,72,Valenciennes FC,1400000,Left,61,43,58,60,63,80,32,61,36,63,57,64,64,62,59,58,74,87,79,52,75,65,39,59,49
8261,A. Rus,26,183,76,Romania,67,72,Pisa,1300000,Right,72,47,54,59,65,73,42,64,38,60,73,71,66,63,65,56,71,68,76,52,72,65,46,52,44
8263,Ș. Baiaram,19,185,70,Romania,67,79,Universitatea Craiova,2400000,Right,84,57,61,66,29,58,60,39,49,65,82,85,80,61,70,58,59,75,50,53,56,23,64,64,45
8264,S. Nordli,22,181,78,Norway,67,75,Aalesunds FK,2300000,Right,69,62,66,67,49,64,60,43,58,67,71,67,71,62,70,65,54,76,65,66,48,52,64,67,62
8265,E. Ersoy,25,187,82,Turkey,67,70,Gazişehir Gaziantep F.K.,1200000,Right,51,29,45,50,66,77,22,71,31,48,54,48,48,65,54,45,77,71,80,29,77,63,28,36,33
8266,Genaro,24,184,76,Spain,67,74,Málaga CF,1900000,Right,60,49,64,63,65,60,40,56,46,68,59,61,58,65,68,69,66,56,59,50,67,62,54,65,53
8267,M. Zeitz,31,181,79,Germany,67,67,1. FC Saarbrücken,725000,Right,54,54,57,59,66,76,47,65,56,61,56,52,51,63,66,66,73,88,72,59,71,66,48,55,56
8268,R. Becker,25,183,79,Germany,67,71,SG Dynamo Dresden,1300000,Right,74,43,50,60,64,72,37,57,29,60,76,72,68,63,69,53,72,71,73,45,71,69,51,38,49
8269,Borja Herrera,29,176,70,Spain,67,67,Hyderabad FC,900000,Left,71,54,62,66,63,63,50,63,45,67,72,71,75,60,69,61,66,71,61,57,59,62,55,53,55
8270,J. Lelieveld,24,178,69,Netherlands,67,71,RKC Waalwijk,1400000,Right,69,44,63,62,62,65,38,56,26,66,67,71,67,59,67,58,52,69,62,50,70,59,45,55,34
8271,C. Rodríguez,27,170,74,Chile,67,67,CD Antofagasta,975000,Right,73,41,61,66,63,70,32,52,32,70,71,74,70,59,71,45,70,70,72,48,63,62,70,56,48
8272,J. Newell,29,185,71,England,67,67,Hibernian,1000000,Left,54,56,69,67,63,73,55,57,64,70,55,54,62,62,60,56,49,77,73,54,74,65,62,68,62
8273,D. Gallagher,31,196,93,Scotland,67,67,St. Mirren,700000,Right,59,32,49,49,66,80,25,67,30,56,64,54,59,61,44,58,74,66,91,19,70,65,48,44,30
8274,L. Albertengo,31,185,75,Argentina,67,67,Defensa y Justicia,850000,Right,66,67,63,66,27,69,67,68,68,68,64,68,65,65,57,66,68,73,71,64,61,26,70,67,70
8275,Léo Bonatini,28,185,82,Brazil,67,67,Wolverhampton Wanderers,1000000,Right,59,66,64,67,33,67,64,65,67,67,63,55,64,69,65,71,70,63,72,63,60,33,71,65,74
8277,L. Canotto,28,175,71,Italy,67,67,Urbs Reggina 1914,1000000,Right,71,62,63,70,41,55,66,43,50,69,71,71,70,64,80,66,45,61,49,51,67,38,70,61,50
8278,L. Duarte,25,180,67,Netherlands,67,70,FC Groningen,1300000,Right,65,61,68,68,62,69,54,44,54,68,67,63,74,66,67,76,61,75,67,68,66,67,62,67,48
8279,K. Ehlers,21,186,84,Germany,67,78,SG Dynamo Dresden,2100000,Right,63,29,51,53,68,68,22,64,31,63,63,63,59,64,59,42,74,64,76,28,53,70,33,57,35
8280,Y. Nadrani,25,183,78,France,67,71,Aalborg BK,1300000,Right,81,32,52,56,68,69,36,58,20,58,80,82,61,60,61,38,73,70,68,20,70,70,33,27,35
8281,M. Szwoch,29,173,60,Poland,67,67,Wisła Płock,1000000,Right,69,64,68,68,54,65,64,53,53,66,71,68,75,66,88,68,63,83,56,60,67,53,65,70,65
8283,Paulo Bernardo,20,180,75,Portugal,67,83,SL Benfica,2700000,Right,72,63,64,72,53,66,59,42,63,73,74,71,68,73,62,71,57,73,64,64,64,57,65,65,57
8284,L. Leahy,29,178,73,England,67,67,Shrewsbury Town,1000000,Left,71,63,66,68,59,77,62,59,55,67,69,72,72,67,73,62,75,87,69,66,85,57,65,65,65
8285,J. Bolívar,20,175,68,Venezuela,67,84,Deportivo La Guaira FC,2700000,Right,61,71,56,65,28,62,75,66,65,65,62,60,60,61,70,67,74,62,73,72,29,20,62,60,70
8287,A. Crețu,30,189,85,Romania,67,67,Universitatea Craiova,850000,Right,59,51,56,57,68,74,46,64,42,59,62,56,59,65,58,64,64,71,78,50,71,66,51,56,49
8288,E. Shuranov,20,184,83,Germany,67,77,1. FC Nürnberg,2300000,Right,58,69,44,63,28,71,73,69,61,61,60,57,67,65,63,71,73,61,79,63,61,19,68,45,66
8289,G. Osho,23,185,70,England,67,74,Luton Town,1900000,Right,70,29,51,58,67,71,24,67,34,65,69,71,59,62,63,42,67,68,77,21,63,64,39,29,46
8290,M. Gümüşkaya,21,177,66,Turkey,67,77,KVC Westerlo,2300000,Left,74,62,67,69,53,57,55,45,57,67,74,74,75,61,70,71,65,69,51,67,57,53,59,64,69
8292,F. Álvarez,29,184,75,Argentina,67,67,Club Atlético Talleres,1000000,Right,67,65,65,67,34,74,62,48,61,68,67,67,69,67,52,75,58,68,75,64,83,36,64,68,57
8293,C. Gutiérrez,25,181,68,Canada,67,70,Vancouver Whitecaps FC,1200000,Left,76,43,63,64,63,69,34,59,36,64,70,80,64,60,69,56,68,68,70,49,66,64,58,60,46
8294,N. Al Dawsari,23,178,68,Saudi Arabia,67,75,Al Hilal,2200000,Left,74,59,69,68,60,60,55,55,38,69,72,75,82,61,67,69,67,67,58,65,55,62,58,65,44
8295,C. Almeida,32,170,65,Uruguay,67,67,Club Nacional de Football,700000,Left,56,42,58,60,69,58,33,63,30,58,61,51,52,65,63,51,57,70,46,52,74,63,65,52,39
8296,C. Herc,23,185,72,Slovakia,67,76,Grasshopper Club Zürich,2300000,Right,70,65,66,69,52,72,63,58,65,70,71,69,60,69,58,71,55,83,72,64,64,52,64,67,57
